month,regional_team,bnf_code,bnf_name,drug,items,quantity
2024-04-01,Y60,0601023AZBBAAAA,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,145,391.0
2024-10-01,Y58,0601023AZBBADAD,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,52,57.0
2025-03-01,Y59,0601023ABBFAAAA,Diavic 6mg/ml solution for injection 3ml pre-filled pens,Liraglutide,13,61.0
2025-02-01,Y58,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,1142,1257.0
2020-02-01,Y63,0601023Y0AAACAC,Exenatide 2mg inj vials,Exenatide,2,8.0
2020-09-01,Y59,0601023Y0BCAAAC,Bydureon 2mg inj vials,Exenatide,1,4.0
2021-10-01,Y62,0601023AIBBACAC,Lyxumia 10micrograms/20micrograms treatment initiation pack,Lixisenatide,2,4.0
2025-03-01,Y61,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,913,960.0
2024-10-01,Y63,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,253,271.0
2024-06-01,Y61,0601023AZBBACAC,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,153,174.0
2024-12-01,Y59,0601023AZAAADAD,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,69,86.0
2024-03-01,Y56,0601023AZBBAAAA,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,25,67.0
2024-04-01,Y62,0601023AZAAAAAA,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,41,159.0
2024-09-01,Y62,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,154,188.0
2025-04-01,Y63,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,813,875.0
2025-01-01,Y60,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,706,825.0
2025-01-01,Y56,0601023AZAAADAD,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,135,184.0
2024-07-01,Y56,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,113,144.0
2024-07-01,Y62,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,41,51.0
2024-12-01,Y63,0601023AZAAADAD,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,48,68.0
2024-08-01,Y62,0601023AZBBAAAA,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,1,4.0
2024-06-01,Y59,0601023AZAAAEAE,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,3,3.0
2024-04-01,Y61,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,1,8.0
2020-11-01,Y60,0601023Y0AAACAC,Exenatide 2mg inj vials,Exenatide,1,8.0
2024-09-01,Y56,0601023AZAAAAAA,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,2,8.0
2025-04-01,Y56,0601023AZBBADAD,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,257,368.0
2025-04-01,Y62,0601023ABBFAAAA,Diavic 6mg/ml solution for injection 3ml pre-filled pens,Liraglutide,3,5.0
2024-12-01,Y62,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,394,432.0
2023-11-01,Y58,0601023AWAAAIAI,Semaglutide 1mg/0.75ml inj 3ml pf dispos dev,Semaglutide,2,3.0
2024-11-01,Y59,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,319,380.0
2024-12-01,Y61,0601023AZBBACAC,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,1418,1553.0
2025-04-01,Y61,0601023AZAAABAB,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,1,4.0
2021-03-01,Y60,0601023AIBBACAC,Lyxumia 10micrograms/20micrograms treatment initiation pack,Lixisenatide,2,4.0
2025-03-01,Y62,0601023AZBBACAC,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,2262,2409.0
2025-01-01,Y62,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,973,1069.0
2024-11-01,Y60,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,693,831.0
2024-11-01,Y59,0601023AZAAADAD,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,57,81.0
2025-02-01,Y60,0601023ABBDAAAA,Nevolat 6mg/ml solution for injection 3ml pre-filled pens,Liraglutide,1,3.0
2024-06-01,Y62,0601023AZBBADAD,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,2,2.0
2024-01-01,Y60,0601023AZAAABAB,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,1,4.0
2024-05-01,Y56,0601023AZAAAAAA,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,3,12.0
2020-04-01,Y60,0601023AIBBACAC,Lyxumia 10micrograms/20micrograms treatment initiation pack,Lixisenatide,2,4.0
2020-12-01,Y60,0601023Y0AAACAC,Exenatide 2mg inj vials,Exenatide,1,8.0
2020-04-01,Y62,0601023Y0AAACAC,Exenatide 2mg inj vials,Exenatide,1,4.0
2025-04-01,Y58,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,751,823.0
2024-06-01,Y58,0601023AZAAADAD,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,1,1.0
2024-04-01,Y56,0601023AZBBAAAA,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,15,51.0
2024-11-01,Y61,0601023AZAAAAAA,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,1,4.0
2021-11-01,Y63,0601023AIBBACAC,Lyxumia 10micrograms/20micrograms treatment initiation pack,Lixisenatide,1,2.0
2025-01-01,Y60,0601023AZAAAEAE,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,215,242.0
2023-11-01,Y60,0601023AZAAAAAA,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,1,4.0
2024-08-01,Y59,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,102,119.0
2024-08-01,Y59,0601023AZAAAEAE,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,26,28.0
2021-04-01,Y56,0601023AIBBACAC,Lyxumia 10micrograms/20micrograms treatment initiation pack,Lixisenatide,1,2.0
2024-07-01,Y56,0601023AZAAAEAE,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,5,6.0
2024-11-01,Y59,0601023AZAAABAB,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,2,5.0
2025-02-01,Y62,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,568,612.0
2024-06-01,Y63,0601023AZBBAAAA,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,15,50.0
2024-07-01,Y62,0601023AZBBADAD,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,5,8.0
2024-12-01,Y60,0601023AZBBAEAE,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,276,299.0
2024-12-01,Y58,0601023AZBBABAB,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,1,1.0
2024-10-01,Y63,0601023AZAAAAAA,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,1,4.0
2025-03-01,Y60,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,1170,1296.0
2024-10-01,Y61,0601023AZAAADAD,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,26,29.0
2024-08-01,Y56,0601023AZAAAEAE,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,10,15.0
2024-07-01,Y59,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,182,217.0
2025-02-01,Y59,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,552,657.0
2024-09-01,Y59,0601023AZBBABAB,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,2,5.0
2023-11-01,Y62,0601023AWAAAIAI,Semaglutide 1mg/0.75ml inj 3ml pf dispos dev,Semaglutide,4,8.0
2025-04-01,Y62,0601023AZAAAEAE,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,231,248.0
2024-11-01,Y61,0601023AZBBAEAE,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,105,110.0
2025-02-01,Y58,0601023AZBBACAC,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,1474,1587.0
2024-06-01,Y60,0601023AZBBAFAF,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,68,75.0
2024-02-01,Y61,0601023AZBBABAB,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,1,4.0
2024-08-01,Y60,0601023AZAAABAB,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,6,22.0
2024-07-01,Y61,0601023AZBBAAAA,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,5,11.0
2024-07-01,Y59,0601023AZBBAEAE,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,7,7.0
2024-12-01,Y56,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,739,901.0
2024-06-01,Y60,0601023AZAAADAD,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,5,25.0
2024-04-01,Y60,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,12,17.0
2025-03-01,Y59,0601023AZBBABAB,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,1,4.0
2024-02-01,Y59,0601023AZBBABAB,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,1,1.0
2024-08-01,Y56,0601023AZBBABAB,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,1,1.0
2023-08-01,Y59,0601023AIBBACAC,Lyxumia 10micrograms/20micrograms treatment initiation pack,Lixisenatide,1,2.0
2024-05-01,Y56,0601023AZBBADAD,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,1,1.0
2021-03-01,Y62,0601023AIBBACAC,Lyxumia 10micrograms/20micrograms treatment initiation pack,Lixisenatide,1,2.0
2024-08-01,Y58,0601023AZAAAEAE,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,13,16.0
2024-07-01,Y56,0601023AZBBAAAA,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,3,3.0
2024-06-01,Y58,0601023AZBBAAAA,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,5,11.0
2024-06-01,Y61,0601023AZAAAEAE,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,5,5.0
2024-01-01,Y56,0601023AZAAAAAA,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,1,4.0
2024-09-01,Y61,0601023AZAAAAAA,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,1,4.0
2024-06-01,Y58,0601023AZBBABAB,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,2,2.0
2024-10-01,Y56,0601023AZBBAFAF,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,284,341.0
2025-01-01,Y60,0601023AZBBACAC,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,3909,4281.0
2025-01-01,Y60,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,1042,1157.0
2025-01-01,Y60,0601023AZBBAEAE,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,443,486.0
2025-01-01,Y61,0601023AZAAAEAE,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,118,123.0
2024-11-01,Y56,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,538,632.0
2024-12-01,Y61,0601023AZAAADAD,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,81,89.0
2024-06-01,Y63,0601023AZAAAEAE,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,1,1.0
2024-05-01,Y60,0601023AZAAABAB,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,19,68.0
2024-05-01,Y58,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,30,32.0
2024-05-01,Y60,0601023AZAAAAAA,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,18,71.0
2024-05-01,Y60,0601023AZBBABAB,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,23,65.0
2025-03-01,Y58,0601023AZBBAEAE,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,178,191.0
2024-09-01,Y63,0601023AZBBAEAE,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,28,30.0
2025-02-01,Y59,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,905,1054.0
2025-02-01,Y58,0601023AZAAADAD,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,128,146.0
2024-12-01,Y62,0601023AZBBAEAE,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,114,128.0
2024-07-01,Y61,0601023AZAAABAB,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,1,4.0
2020-11-01,Y61,0601023Y0BCAAAC,Bydureon 2mg inj vials,Exenatide,2,16.0
2020-04-01,Y60,0601023Y0BCAAAC,Bydureon 2mg inj vials,Exenatide,2,8.0
2024-11-01,Y61,0601023AZBBAFAF,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,511,582.0
2020-05-01,Y58,0601023Y0AAACAC,Exenatide 2mg inj vials,Exenatide,3,12.0
2020-11-01,Y58,0601023Y0BCAAAC,Bydureon 2mg inj vials,Exenatide,1,4.0
2024-10-01,Y59,0601023AZBBACAC,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,1324,1503.0
2024-07-01,Y63,0601023AZAAAAAA,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,3,12.0
2025-04-01,Y58,0601023AZBBABAB,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,1,1.0
2024-04-01,Y56,0601023AZAAABAB,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,7,25.0
2024-05-01,Y60,0601023AZBBACAC,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,149,183.0
2024-05-01,Y62,0601023AZBBAAAA,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,13,37.0
2024-08-01,Y61,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,89,103.0
2025-03-01,Y63,0601023AZBBADAD,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,162,169.0
2024-10-01,Y62,0601023AZAAAEAE,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,59,62.0
2024-11-01,Y56,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,352,466.0
2024-03-01,Y63,0601023AZAAABAB,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,4,16.0
2024-04-01,Y62,0601023AZAAABAB,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,9,30.0
2020-04-01,Y59,0601023AIBBACAC,Lyxumia 10micrograms/20micrograms treatment initiation pack,Lixisenatide,1,2.0
2021-11-01,Y60,0601023AIBBACAC,Lyxumia 10micrograms/20micrograms treatment initiation pack,Lixisenatide,1,2.0
2025-03-01,Y62,0601023AZBBAFAF,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,1217,1265.0
2025-03-01,Y56,0601023AZBBACAC,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,1444,1670.0
2024-10-01,Y60,0601023AZBBAAAA,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,1,1.0
2024-06-01,Y58,0601023AZBBAEAE,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,5,5.0
2024-04-01,Y61,0601023AZBBACAC,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,13,13.0
2023-12-01,Y61,0601023AZBBAAAA,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,1,4.0
2024-06-01,Y62,0601023AZAAADAD,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,3,3.0
2021-10-01,Y60,0601023Y0AAACAC,Exenatide 2mg inj vials,Exenatide,1,8.0
2020-09-01,Y58,0601023Y0BCAAAC,Bydureon 2mg inj vials,Exenatide,2,8.0
2024-08-01,Y63,0601023AZBBAAAA,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,5,18.0
2024-09-01,Y58,0601023AZBBAFAF,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,149,159.0
2025-04-01,Y61,0601023AZAAADAD,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,258,272.0
2024-07-01,Y59,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,73,80.0
2024-01-01,Y60,0601023AZAAAAAA,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,1,4.0
2024-05-01,Y58,0601023AZAAAEAE,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,1,1.0
2025-03-01,Y62,0601023AZBBAEAE,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,242,249.0
2024-10-01,Y62,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,213,239.0
2025-02-01,Y61,0601023AZBBAFAF,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,962,1029.0
2024-06-01,Y59,0601023AZBBABAB,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,5,14.0
2024-12-01,Y60,0601023AZAAABAB,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,3,12.0
2024-07-01,Y61,0601023AZAAAEAE,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,6,7.0
2025-02-01,Y58,0601023AZBBABAB,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,1,1.0
2024-06-01,Y56,0601023AZAAAAAA,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,2,8.0
2024-04-01,Y59,0601023AZAAAAAA,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,50,191.0
2021-05-01,Y58,0601023AIBBACAC,Lyxumia 10micrograms/20micrograms treatment initiation pack,Lixisenatide,1,2.0
2024-08-01,Y61,0601023AZBBACAC,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,466,538.0
2024-11-01,Y60,0601023AZBBAEAE,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,273,316.0
2024-12-01,Y60,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,581,680.0
2025-01-01,Y59,0601023ABBFAAAA,Diavic 6mg/ml solution for injection 3ml pre-filled pens,Liraglutide,1,3.0
2024-11-01,Y61,0601023AZBBABAB,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,1,2.0
2024-05-01,Y63,0601023AZBBAFAF,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,2,2.0
2021-12-01,Y61,0601023Y0AAACAC,Exenatide 2mg inj vials,Exenatide,1,8.0
2021-08-01,Y63,0601023AIBBACAC,Lyxumia 10micrograms/20micrograms treatment initiation pack,Lixisenatide,1,2.0
2024-08-01,Y61,0601023AZAAACAC,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,208,250.0
2024-10-01,Y61,0601023AZBBAAAA,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,Tirzepatide,4,7.0
2023-08-01,Y56,0601023AZAAAAAA,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,Tirzepatide,1,8.0
2020-09-01,Y56,0601023Y0AAACAC,Exenatide 2mg inj vials,Exenatide,1,4.0
2025-04-01,Y59,0601023AZAAADAD,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,175,210.0
2025-01-01,Y59,0601023AZBBADAD,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,235,264.0
2025-01-01,Y63,0601023AZAAAFAF,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,Tirzepatide,227,252.0
2024-06-01,Y63,0601023AZBBACAC,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,115,127.0
2024-04-01,Y60,0601023AZBBACAC,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,Tirzepatide,24,27.0
2023-10-01,Y62,0601023AWAAAIAI,Semaglutide 1mg/0.75ml inj 3ml pf dispos dev,Semaglutide,1,1.0
