month,regional_team,chemical,bnf_name,items,quantity,total_list_size,rate
2025-06-01,Y58,Tirzepatide,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,2378,2492.0,6149582,0.0003866929492118326
2025-05-01,Y60,Tirzepatide,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,4076,4365.0,12021740,0.00033905241670506933
2025-04-01,Y62,Tirzepatide,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,1486,1546.0,7972232,0.00018639698393122528
2024-11-01,Y60,Tirzepatide,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,1,1.0,12001351,8.332395244502056e-08
2024-05-01,Y63,Tirzepatide,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,2,6.0,9225693,2.167858826431792e-07
2024-11-01,Y60,Tirzepatide,Tirzepatide 2.5mg/0.6ml inj 2.4ml pf dispos dev,913,1134.0,12001351,7.607476858230378e-05
2024-11-01,Y58,Tirzepatide,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,297,325.0,6145094,4.8331237894814954e-05
2024-12-01,Y62,Tirzepatide,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,98,99.0,7963722,1.2305803743525955e-05
2025-03-01,Y62,Tirzepatide,Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,3042,3242.0,7970396,0.0003816623414947011
2024-06-01,Y56,Tirzepatide,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,1,1.0,11045840,9.053182012413723e-08
2024-10-01,Y63,Tirzepatide,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,96,142.0,9256322,1.0371290022105972e-05
2024-10-01,Y61,Tirzepatide,Tirzepatide 2.5mg/0.6ml inj 2.4ml pf dispos dev,709,861.0,7316007,9.691078753751877e-05
2024-10-01,Y58,Tirzepatide,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,246,255.0,6138805,4.007294579319591e-05
2024-05-01,Y62,Tirzepatide,Mounjaro KwikPen 2.5mg/0.6ml inj 2.4ml pre-filled pens,1057,1301.0,7906980,0.0001336793567202649
2024-12-01,Y58,Tirzepatide,Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,3976,4499.0,6149594,0.0006465467476389498
2024-09-01,Y60,Tirzepatide,Tirzepatide 2.5mg/0.6ml inj 2.4ml pf dispos dev,765,956.0,11966601,6.392792740394704e-05
2025-01-01,Y60,Tirzepatide,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,706,825.0,12011183,5.877855661677955e-05
2025-02-01,Y63,Tirzepatide,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,136,139.0,9276815,1.4660203960087594e-05
2025-02-01,Y58,Tirzepatide,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,155,177.0,6150966,2.5199293899527325e-05
2024-10-01,Y56,Tirzepatide,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,48,60.0,11073203,4.3347891301189e-06
2025-06-01,Y63,Tirzepatide,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,1,1.0,9273184,1.0783782571336878e-07
2024-07-01,Y60,Tirzepatide,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,639,721.0,11953078,5.345903373173002e-05
2024-09-01,Y63,Tirzepatide,Mounjaro KwikPen 2.5mg/0.6ml inj 2.4ml pre-filled pens,2896,3139.0,9238877,0.00031345801010231007
2025-01-01,Y62,Tirzepatide,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,887,931.0,7965242,0.00011135882626039485
2025-02-01,Y61,Tirzepatide,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,502,540.0,7341176,6.838141463983428e-05
2025-03-01,Y63,Tirzepatide,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,669,720.0,9275864,7.212266156554257e-05
2025-03-01,Y61,Tirzepatide,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,617,666.0,7341207,8.404612484023403e-05
2024-06-01,Y60,Tirzepatide,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,40,52.0,11944759,3.3487490203862633e-06
2025-06-01,Y63,Tirzepatide,Mounjaro KwikPen 2.5mg/0.6ml inj 2.4ml pre-filled pens,4107,4244.0,9273184,0.0004428899502048056
2025-04-01,Y61,Tirzepatide,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,344,379.0,7342352,4.6851472116836676e-05
2024-07-01,Y59,Tirzepatide,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,6,6.0,9831554,6.102799211599713e-07
2024-06-01,Y60,Tirzepatide,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,5,25.0,11944759,4.185936275482829e-07
2025-03-01,Y60,Tirzepatide,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,1,1.0,12018637,8.320411041618114e-08
2024-07-01,Y61,Tirzepatide,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,137,154.0,7299401,1.8768663346485553e-05
2024-11-01,Y60,Tirzepatide,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,693,831.0,12001351,5.774349904439925e-05
2024-12-01,Y59,Tirzepatide,Mounjaro KwikPen 2.5mg/0.6ml inj 2.4ml pre-filled pens,3887,4261.0,9875570,0.00039359753411701806
2024-09-01,Y56,Tirzepatide,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,121,158.0,11051350,1.0948888597320689e-05
2025-03-01,Y58,Tirzepatide,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,1845,1949.0,6149586,0.0003000201964815192
2024-05-01,Y62,Tirzepatide,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,7,21.0,7906980,8.85293753114337e-07
2025-03-01,Y59,Tirzepatide,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,198,215.0,9881533,2.003737679163749e-05
2024-04-01,Y63,Tirzepatide,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,6,24.0,9215518,6.510757181527941e-07
2024-08-01,Y56,Tirzepatide,Tirzepatide 2.5mg/0.6ml inj 2.4ml pf dispos dev,867,1184.0,11031060,7.859625457571621e-05
2025-06-01,Y62,Tirzepatide,Tirzepatide 2.5mg/0.6ml inj 2.4ml pf dispos dev,1808,1986.0,7976439,0.00022666756431033948
2025-04-01,Y62,Tirzepatide,Tirzepatide 12.5mg/0.6ml inj 2.4ml pf dispos dev,231,248.0,7972232,2.8975574218111065e-05
2024-05-01,Y58,Tirzepatide,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,4,4.0,6122470,6.533310902299236e-07
2023-11-01,Y60,Tirzepatide,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,1,4.0,11850665,8.438345021144383e-08
2024-04-01,Y61,Tirzepatide,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,2,8.0,7276535,2.748560956554184e-07
2024-12-01,Y61,Tirzepatide,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,128,140.0,7332577,1.7456345838577624e-05
2024-12-01,Y56,Tirzepatide,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,92,124.0,11103147,8.285939112577722e-06
2024-09-01,Y59,Tirzepatide,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,333,373.0,9845426,3.382281274573594e-05
2025-02-01,Y63,Tirzepatide,Mounjaro KwikPen 2.5mg/0.6ml inj 2.4ml pre-filled pens,3369,3535.0,9276815,0.0003631634348642287
2024-06-01,Y59,Tirzepatide,Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,816,1049.0,9824332,8.305908228671425e-05
2024-03-01,Y59,Tirzepatide,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,43,127.0,9799950,4.387777488660656e-06
2025-04-01,Y62,Tirzepatide,Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,3287,3538.0,7972232,0.0004123061145235111
2025-04-01,Y59,Tirzepatide,Tirzepatide 2.5mg/0.6ml inj 2.4ml pf dispos dev,1377,1605.0,9884038,0.00013931553075777328
2025-04-01,Y63,Tirzepatide,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,1,1.0,9275991,1.0780519299770773e-07
2024-10-01,Y59,Tirzepatide,Mounjaro KwikPen 5mg/0.6ml inj 2.4ml pre-filled pens,8819,10646.0,9857536,0.0008946454773282085
2024-07-01,Y56,Tirzepatide,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,158,193.0,11045722,1.4304180387665016e-05
2024-04-01,Y60,Tirzepatide,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,26,104.0,11916420,2.181863344863642e-06
2025-06-01,Y56,Tirzepatide,Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,4209,5105.0,11130730,0.00037814231411596543
2025-06-01,Y58,Tirzepatide,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,286,327.0,6149582,4.650722601958962e-05
2024-05-01,Y60,Tirzepatide,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,61,82.0,11935664,5.1107336801706215e-06
2024-05-01,Y61,Tirzepatide,Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,225,309.0,7287451,3.0874993190348726e-05
2024-07-01,Y56,Tirzepatide,Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,835,1195.0,11045722,7.55948773651917e-05
2024-12-01,Y61,Tirzepatide,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,1418,1553.0,7332577,0.00019338358124299274
2025-03-01,Y63,Tirzepatide,Mounjaro KwikPen 5mg/0.6ml inj 2.4ml pre-filled pens,13788,14596.0,9275864,0.001486438352265622
2025-03-01,Y60,Tirzepatide,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,4734,5132.0,12018637,0.0003938882587102015
2025-03-01,Y56,Tirzepatide,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,1444,1670.0,11120160,0.0001298542467014863
2024-04-01,Y56,Tirzepatide,Mounjaro KwikPen 2.5mg/0.6ml inj 2.4ml pre-filled pens,195,283.0,11006217,1.7717259254474086e-05
2024-04-01,Y62,Tirzepatide,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,69,186.0,7890348,8.7448614433736e-06
2024-05-01,Y63,Tirzepatide,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,8,29.0,9225693,8.671435305727168e-07
2024-04-01,Y56,Tirzepatide,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,2,7.0,11006217,1.8171547953306753e-07
2024-10-01,Y60,Tirzepatide,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,2195,2453.0,11986533,0.00018312217552815313
2024-05-01,Y62,Tirzepatide,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,29,32.0,7906980,3.6676455486165387e-06
2024-07-01,Y58,Tirzepatide,Mounjaro KwikPen 5mg/0.6ml inj 2.4ml pre-filled pens,2763,2986.0,6126251,0.00045100992434035105
2024-11-01,Y63,Tirzepatide,Mounjaro KwikPen 2.5mg/0.6ml inj 2.4ml pre-filled pens,3302,3504.0,9268562,0.00035625806894316506
2025-04-01,Y61,Tirzepatide,Mounjaro KwikPen 2.5mg/0.6ml inj 2.4ml pre-filled pens,2542,2637.0,7342352,0.0003462105875610431
2024-07-01,Y56,Tirzepatide,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,1,1.0,11045722,9.053278726370264e-08
2024-02-01,Y56,Tirzepatide,Tirzepatide 2.5mg/0.6ml inj 2.4ml pf dispos dev,1,4.0,11014884,9.078624886108651e-08
2024-10-01,Y61,Tirzepatide,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,26,29.0,7316007,3.5538511649865836e-06
2024-09-01,Y58,Tirzepatide,Tirzepatide 5mg/0.6ml inj 2.4ml pf dispos dev,2656,3017.0,6130305,0.000433257399101676
2024-09-01,Y63,Tirzepatide,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,179,211.0,9238877,1.9374649105080627e-05
2025-01-01,Y63,Tirzepatide,Mounjaro KwikPen 12.5mg/0.6ml inj 2.4ml pre-filled pens,94,104.0,9274875,1.0134907478537446e-05
2025-02-01,Y63,Tirzepatide,Tirzepatide 15mg/0.6ml inj 2.4ml pf dispos dev,81,97.0,9276815,8.731445005640407e-06
2025-02-01,Y59,Tirzepatide,Tirzepatide 2.5mg/0.6ml inj 2.4ml pf dispos dev,1259,1449.0,9882898,0.00012739178326033517
2023-12-01,Y61,Tirzepatide,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,1,4.0,7250533,1.379208949190356e-07
2025-03-01,Y59,Tirzepatide,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,1651,1918.0,9881533,0.00016707933880299747
2024-04-01,Y58,Tirzepatide,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,4,7.0,6116668,6.539508111278886e-07
2024-06-01,Y56,Tirzepatide,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,17,23.0,11045840,1.539040942110333e-06
2025-05-01,Y62,Tirzepatide,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,1835,1913.0,7973347,0.00023014174599449893
2025-05-01,Y61,Tirzepatide,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,1,4.0,7345292,1.361416265003488e-07
2024-11-01,Y63,Tirzepatide,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,334,388.0,9268562,3.6035794980925846e-05
2024-09-01,Y63,Tirzepatide,Tirzepatide 2.5mg/0.6ml inj 2.4ml pf dispos dev,693,855.0,9238877,7.500911636771439e-05
2024-09-01,Y56,Tirzepatide,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,181,231.0,11051350,1.6378089554669793e-05
2025-02-01,Y63,Tirzepatide,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,2032,2161.0,9276815,0.00021904069446248523
2025-02-01,Y59,Tirzepatide,Mounjaro KwikPen 15mg/0.6ml inj 2.4ml pre-filled pens,265,297.0,9882898,2.6813997270841004e-05
2024-02-01,Y56,Tirzepatide,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,14,38.0,11014884,1.2710074840552111e-06
2024-06-01,Y58,Tirzepatide,Mounjaro KwikPen 5mg/0.6ml inj 2.4ml pre-filled pens,1696,1853.0,6124808,0.000276906639359144
2024-08-01,Y63,Tirzepatide,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,121,155.0,9236082,1.310079317182329e-05
2024-08-01,Y58,Tirzepatide,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,276,295.0,6129073,4.50312796078624e-05
2024-02-01,Y58,Tirzepatide,Tirzepatide 5mg/0.5ml inj pre-filled disposable devices,1,4.0,6111768,1.6361877610537573e-07
2024-07-01,Y58,Tirzepatide,Tirzepatide 2.5mg/0.6ml inj 2.4ml pf dispos dev,1354,1501.0,6126251,0.0002210160830824594
2024-07-01,Y62,Tirzepatide,Tirzepatide 10mg/0.6ml inj 2.4ml pf dispos dev,41,51.0,7919488,5.177102358132243e-06
2024-11-01,Y61,Tirzepatide,Tirzepatide 2.5mg/0.6ml inj 2.4ml pf dispos dev,697,812.0,7327234,9.512457224649847e-05
2025-03-01,Y60,Tirzepatide,Tirzepatide 7.5mg/0.6ml inj 2.4ml pf dispos dev,1170,1296.0,12018637,9.734880918693193e-05
2025-05-01,Y56,Tirzepatide,Mounjaro KwikPen 5mg/0.6ml inj 2.4ml pre-filled pens,4669,5664.0,11122723,0.00041977130959747894
2025-04-01,Y59,Tirzepatide,Mounjaro KwikPen 7.5mg/0.6ml inj 2.4ml pre-filled pens,3958,4481.0,9884038,0.00040044362435676594
2024-03-01,Y58,Tirzepatide,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,30,49.0,6114464,4.906398990982693e-06
2024-10-01,Y59,Tirzepatide,Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens,2,5.0,9857536,2.0289045862982393e-07
2025-01-01,Y60,Tirzepatide,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,1,4.0,12011183,8.325574591611833e-08
2025-05-01,Y62,Tirzepatide,Mounjaro 5mg/0.5ml solution for injection pre-filled pens,1,2.0,7973347,1.2541784522860976e-07
2025-02-01,Y61,Tirzepatide,Tirzepatide 2.5mg/0.5ml inj pre-filled disposable devices,1,4.0,7341176,1.3621795744986906e-07
2024-07-01,Y59,Tirzepatide,Mounjaro KwikPen 10mg/0.6ml inj 2.4ml pre-filled pens,100,115.0,9831554,1.0171332019332854e-05
2024-09-01,Y59,Tirzepatide,Mounjaro KwikPen 5mg/0.6ml inj 2.4ml pre-filled pens,7071,8628.0,9845426,0.0007182015283036001
2025-02-01,Y63,Tirzepatide,Tirzepatide 2.5mg/0.6ml inj 2.4ml pf dispos dev,822,948.0,9276815,8.860799746464708e-05
2025-03-01,Y58,Tirzepatide,Tirzepatide 2.5mg/0.6ml inj 2.4ml pf dispos dev,1572,1668.0,6149586,0.0002556269641566115
